"People","develop","Software"
"People","use","Software"
"People","use","Software Engineering Processes"
"Hiring organizations","require","Software Engineering Processes"
"People","reproduce","Software"
"People","develop","Software Engineering Processes"
"Hiring organizations","own","Software"
"People","publish","Publishers, repositories, indices"
"Communities","standardize","Software Engineering Processes"
"Hiring organizations","formalize","Software Engineering Processes"
"Publishers, repositories, indices","store","Software"
"Funding organizations","fund","Hiring organizations"
"Hiring organizations","measure","Software"
"Publishers, repositories, indices","index","Software"
"Publishers, repositories, indices","measure","Software"
"Publishers, repositories, indices","recognize","People"
"Communities","recognize","People"
"Funding organizations","recognize","People"
"Hiring organizations","recognize","People"
"Hiring organizations","reward","People"
"People","join","Communities"
"People","teach","Software Engineering Processes"
"People","disseminate","Publishers, repositories, indices"
"Communities","reward","People"
"Funding organizations","reward","People"
"Hiring organizations","hire","People"
"Hiring organizations","promote","People"
"People","propose","Funding organizations"
"Publishers, repositories, indices","reward","People"
"Software","use","Hardware & underlying software"
"People","educate","People"
"People","train","People"
